t, c	M(t), נאה	E(t), נאה	Theta(t), נאה	Vp, (ךל/ס)	Vr, (ךל/c)	V, (ךלc)	r (ךל)
0	0	0	0	7.66609	0	7.66609	6786
1	0.00112853	0.00112911	0.00112969	7.66609	4.46211e-06	7.66609	6786
2	0.00225706	0.00225822	0.00225938	7.66609	8.92421e-06	7.66609	6786
3	0.00338558	0.00338733	0.00338907	7.66609	1.33863e-05	7.66609	6786
4	0.00451411	0.00451644	0.00451877	7.66609	1.78484e-05	7.66609	6786
5	0.00564264	0.00564555	0.00564846	7.66609	2.23104e-05	7.66609	6786
6	0.00677117	0.00677466	0.00677815	7.66609	2.67725e-05	7.66609	6786
7	0.00789969	0.00790377	0.00790784	7.66609	3.12344e-05	7.66609	6786
8	0.00902822	0.00903288	0.00903753	7.66609	3.56964e-05	7.66609	6786
9	0.0101567	0.010162	0.0101672	7.66609	4.01583e-05	7.66609	6786
10	0.0112853	0.0112911	0.0112969	7.66609	4.46201e-05	7.66609	6786
11	0.0124138	0.0124202	0.0124266	7.66609	4.90819e-05	7.66609	6786
12	0.0135423	0.0135493	0.0135563	7.66609	5.35437e-05	7.66609	6786
13	0.0146709	0.0146784	0.014686	7.66609	5.80053e-05	7.66609	6786
14	0.0157994	0.0158075	0.0158157	7.66609	6.24669e-05	7.66609	6786
15	0.0169279	0.0169366	0.0169454	7.66609	6.69284e-05	7.66609	6786
16	0.0180564	0.0180657	0.0180751	7.66609	7.13899e-05	7.66609	6786
17	0.019185	0.0191949	0.0192048	7.66609	7.58512e-05	7.66609	6786
18	0.0203135	0.020324	0.0203345	7.66609	8.03124e-05	7.66609	6786
19	0.021442	0.0214531	0.0214641	7.66609	8.47736e-05	7.66609	6786
20	0.0225706	0.0225822	0.0225938	7.66609	8.92346e-05	7.66609	6786
21	0.0236991	0.0237113	0.0237235	7.66609	9.36955e-05	7.66609	6786
22	0.0248276	0.0248404	0.0248532	7.66609	9.81563e-05	7.66609	6786
23	0.0259561	0.0259695	0.0259829	7.66609	0.000102617	7.66609	6786
24	0.0270847	0.0270986	0.0271126	7.66609	0.000107078	7.66609	6786
25	0.0282132	0.0282277	0.0282423	7.66609	0.000111538	7.66609	6786
26	0.0293417	0.0293568	0.029372	7.66609	0.000115998	7.66609	6786
27	0.0304702	0.030486	0.0305017	7.66609	0.000120458	7.66609	6786
28	0.0315988	0.0316151	0.0316314	7.66609	0.000124918	7.66609	6786
29	0.0327273	0.0327442	0.0327611	7.66609	0.000129378	7.66609	6786
30	0.0338558	0.0338733	0.0338908	7.66609	0.000133838	7.66609	6786
31	0.0349844	0.0350024	0.0350204	7.66609	0.000138297	7.66609	6786
32	0.0361129	0.0361315	0.0361501	7.66609	0.000142756	7.66609	6786
33	0.0372414	0.0372606	0.0372798	7.66609	0.000147216	7.66609	6786
34	0.0383699	0.0383897	0.0384095	7.66609	0.000151674	7.66609	6786
35	0.0394985	0.0395188	0.0395392	7.66609	0.000156133	7.66609	6786
36	0.040627	0.0406479	0.0406689	7.66609	0.000160592	7.66609	6786
37	0.0417555	0.0417771	0.0417986	7.66609	0.00016505	7.66609	6786
38	0.0428841	0.0429062	0.0429283	7.66609	0.000169508	7.66609	6786
39	0.0440126	0.0440353	0.044058	7.66609	0.000173966	7.66609	6786
40	0.0451411	0.0451644	0.0451877	7.66609	0.000178424	7.66609	6786
41	0.0462696	0.0462935	0.0463174	7.66609	0.000182881	7.66609	6786
42	0.0473982	0.0474226	0.047447	7.66608	0.000187338	7.66608	6786
43	0.0485267	0.0485517	0.0485767	7.66608	0.000191795	7.66608	6786
44	0.0496552	0.0496808	0.0497064	7.66608	0.000196252	7.66608	6786
45	0.0507837	0.0508099	0.0508361	7.66608	0.000200708	7.66608	6786
46	0.0519123	0.051939	0.0519658	7.66608	0.000205165	7.66608	6786
47	0.0530408	0.0530681	0.0530955	7.66608	0.000209621	7.66608	6786
48	0.0541693	0.0541973	0.0542252	7.66608	0.000214076	7.66608	6786.01
49	0.0552979	0.0553264	0.0553549	7.66608	0.000218532	7.66608	6786.01
50	0.0564264	0.0564555	0.0564846	7.66608	0.000222987	7.66608	6786.01
51	0.0575549	0.0575846	0.0576143	7.66608	0.000227442	7.66608	6786.01
52	0.0586834	0.0587137	0.0587439	7.66608	0.000231896	7.66608	6786.01
53	0.059812	0.0598428	0.0598736	7.66608	0.00023635	7.66608	6786.01
54	0.0609405	0.0609719	0.0610033	7.66608	0.000240804	7.66608	6786.01
55	0.062069	0.062101	0.062133	7.66608	0.000245258	7.66608	6786.01
56	0.0631975	0.0632301	0.0632627	7.66608	0.000249711	7.66608	6786.01
57	0.0643261	0.0643592	0.0643924	7.66608	0.000254164	7.66608	6786.01
58	0.0654546	0.0654883	0.0655221	7.66608	0.000258617	7.66608	6786.01
59	0.0665831	0.0666174	0.0666518	7.66608	0.000263069	7.66608	6786.01
60	0.0677117	0.0677466	0.0677815	7.66608	0.000267521	7.66608	6786.01
61	0.0688402	0.0688757	0.0689111	7.66608	0.000271973	7.66608	6786.01
62	0.0699687	0.0700048	0.0700408	7.66608	0.000276424	7.66608	6786.01
63	0.0710972	0.0711339	0.0711705	7.66608	0.000280875	7.66608	6786.01
64	0.0722258	0.072263	0.0723002	7.66608	0.000285326	7.66608	6786.01
65	0.0733543	0.0733921	0.0734299	7.66608	0.000289776	7.66608	6786.01
66	0.0744828	0.0745212	0.0745596	7.66608	0.000294226	7.66608	6786.01
67	0.0756114	0.0756503	0.0756893	7.66608	0.000298676	7.66608	6786.01
68	0.0767399	0.0767794	0.076819	7.66608	0.000303125	7.66608	6786.01
69	0.0778684	0.0779085	0.0779487	7.66608	0.000307574	7.66608	6786.01
70	0.0789969	0.0790376	0.0790783	7.66608	0.000312022	7.66608	6786.01
71	0.0801255	0.0801667	0.080208	7.66608	0.00031647	7.66608	6786.01
72	0.081254	0.0812959	0.0813377	7.66608	0.000320917	7.66608	6786.01
73	0.0823825	0.082425	0.0824674	7.66608	0.000325365	7.66608	6786.01
74	0.083511	0.0835541	0.0835971	7.66608	0.000329811	7.66608	6786.01
75	0.0846396	0.0846832	0.0847268	7.66608	0.000334258	7.66608	6786.01
76	0.0857681	0.0858123	0.0858565	7.66607	0.000338703	7.66607	6786.01
77	0.0868966	0.0869414	0.0869862	7.66607	0.000343149	7.66607	6786.01
78	0.0880252	0.0880705	0.0881159	7.66607	0.000347594	7.66607	6786.01
79	0.0891537	0.0891996	0.0892455	7.66607	0.000352038	7.66607	6786.01
80	0.0902822	0.0903287	0.0903752	7.66607	0.000356483	7.66607	6786.01
81	0.0914107	0.0914578	0.0915049	7.66607	0.000360926	7.66607	6786.01
82	0.0925393	0.0925869	0.0926346	7.66607	0.000365369	7.66607	6786.01
83	0.0936678	0.093716	0.0937643	7.66607	0.000369812	7.66607	6786.02
84	0.0947963	0.0948451	0.094894	7.66607	0.000374254	7.66607	6786.02
85	0.0959248	0.0959742	0.0960237	7.66607	0.000378696	7.66607	6786.02
86	0.0970534	0.0971034	0.0971533	7.66607	0.000383137	7.66607	6786.02
87	0.0981819	0.0982325	0.098283	7.66607	0.000387578	7.66607	6786.02
88	0.0993104	0.0993616	0.0994127	7.66607	0.000392019	7.66607	6786.02
89	0.100439	0.100491	0.100542	7.66607	0.000396458	7.66607	6786.02
90	0.101567	0.10162	0.101672	7.66607	0.000400898	7.66607	6786.02
91	0.102696	0.102749	0.102802	7.66607	0.000405336	7.66607	6786.02
92	0.103825	0.103878	0.103931	7.66607	0.000409775	7.66607	6786.02
93	0.104953	0.105007	0.105061	7.66607	0.000414213	7.66607	6786.02
94	0.106082	0.106136	0.106191	7.66607	0.00041865	7.66607	6786.02
95	0.10721	0.107265	0.107321	7.66607	0.000423086	7.66607	6786.02
96	0.108339	0.108394	0.10845	7.66607	0.000427523	7.66607	6786.02
97	0.109467	0.109524	0.10958	7.66607	0.000431958	7.66607	6786.02
98	0.110596	0.110653	0.11071	7.66607	0.000436393	7.66607	6786.02
99	0.111724	0.111782	0.111839	7.66606	0.000440828	7.66606	6786.02
100	0.112853	0.112911	0.112969	7.66606	0.000445262	7.66606	6786.02
101	0.113981	0.11404	0.114099	7.66606	0.000449695	7.66606	6786.02
102	0.11511	0.115169	0.115228	7.66606	0.000454128	7.66606	6786.02
103	0.116238	0.116298	0.116358	7.66606	0.00045856	7.66606	6786.02
104	0.117367	0.117427	0.117488	7.66606	0.000462992	7.66606	6786.02
105	0.118495	0.118556	0.118617	7.66606	0.000467423	7.66606	6786.02
106	0.119624	0.119685	0.119747	7.66606	0.000471853	7.66606	6786.03
107	0.120752	0.120815	0.120877	7.66606	0.000476283	7.66606	6786.03
108	0.121881	0.121944	0.122006	7.66606	0.000480712	7.66606	6786.03
109	0.12301	0.123073	0.123136	7.66606	0.000485141	7.66606	6786.03
110	0.124138	0.124202	0.124266	7.66606	0.000489569	7.66606	6786.03
111	0.125267	0.125331	0.125395	7.66606	0.000493996	7.66606	6786.03
112	0.126395	0.12646	0.126525	7.66606	0.000498423	7.66606	6786.03
113	0.127524	0.127589	0.127655	7.66606	0.000502849	7.66606	6786.03
114	0.128652	0.128718	0.128785	7.66606	0.000507274	7.66606	6786.03
115	0.129781	0.129847	0.129914	7.66606	0.000511699	7.66606	6786.03
116	0.130909	0.130977	0.131044	7.66606	0.000516123	7.66606	6786.03
117	0.132038	0.132106	0.132174	7.66605	0.000520547	7.66605	6786.03
118	0.133166	0.133235	0.133303	7.66605	0.000524969	7.66605	6786.03
119	0.134295	0.134364	0.134433	7.66605	0.000529392	7.66605	6786.03
120	0.135423	0.135493	0.135563	7.66605	0.000533813	7.66605	6786.03
121	0.136552	0.136622	0.136692	7.66605	0.000538234	7.66605	6786.03
122	0.13768	0.137751	0.137822	7.66605	0.000542654	7.66605	6786.03
123	0.138809	0.13888	0.138952	7.66605	0.000547073	7.66605	6786.03
124	0.139937	0.140009	0.140081	7.66605	0.000551492	7.66605	6786.03
125	0.141066	0.141138	0.141211	7.66605	0.00055591	7.66605	6786.03
126	0.142194	0.142268	0.142341	7.66605	0.000560327	7.66605	6786.04
127	0.143323	0.143397	0.14347	7.66605	0.000564744	7.66605	6786.04
128	0.144452	0.144526	0.1446	7.66605	0.00056916	7.66605	6786.04
129	0.14558	0.145655	0.14573	7.66605	0.000573575	7.66605	6786.04
130	0.146709	0.146784	0.146859	7.66605	0.000577989	7.66605	6786.04
131	0.147837	0.147913	0.147989	7.66605	0.000582403	7.66605	6786.04
132	0.148966	0.149042	0.149119	7.66605	0.000586816	7.66605	6786.04
133	0.150094	0.150171	0.150248	7.66604	0.000591228	7.66604	6786.04
134	0.151223	0.1513	0.151378	7.66604	0.000595639	7.66604	6786.04
135	0.152351	0.15243	0.152508	7.66604	0.00060005	7.66604	6786.04
136	0.15348	0.153559	0.153637	7.66604	0.00060446	7.66604	6786.04
137	0.154608	0.154688	0.154767	7.66604	0.000608869	7.66604	6786.04
138	0.155737	0.155817	0.155897	7.66604	0.000613277	7.66604	6786.04
139	0.156865	0.156946	0.157027	7.66604	0.000617685	7.66604	6786.04
140	0.157994	0.158075	0.158156	7.66604	0.000622092	7.66604	6786.04
141	0.159122	0.159204	0.159286	7.66604	0.000626498	7.66604	6786.04
142	0.160251	0.160333	0.160416	7.66604	0.000630903	7.66604	6786.04
143	0.161379	0.161462	0.161545	7.66604	0.000635307	7.66604	6786.05
144	0.162508	0.162591	0.162675	7.66604	0.000639711	7.66604	6786.05
145	0.163637	0.163721	0.163805	7.66604	0.000644114	7.66604	6786.05
146	0.164765	0.16485	0.164934	7.66604	0.000648515	7.66604	6786.05
147	0.165894	0.165979	0.166064	7.66603	0.000652917	7.66603	6786.05
148	0.167022	0.167108	0.167194	7.66603	0.000657317	7.66603	6786.05
149	0.168151	0.168237	0.168323	7.66603	0.000661716	7.66603	6786.05
150	0.169279	0.169366	0.169453	7.66603	0.000666115	7.66603	6786.05
151	0.170408	0.170495	0.170583	7.66603	0.000670512	7.66603	6786.05
152	0.171536	0.171624	0.171712	7.66603	0.000674909	7.66603	6786.05
153	0.172665	0.172753	0.172842	7.66603	0.000679305	7.66603	6786.05
154	0.173793	0.173882	0.173972	7.66603	0.0006837	7.66603	6786.05
155	0.174922	0.175012	0.175101	7.66603	0.000688095	7.66603	6786.05
156	0.17605	0.176141	0.176231	7.66603	0.000692488	7.66603	6786.05
157	0.177179	0.17727	0.177361	7.66603	0.000696881	7.66603	6786.05
158	0.178307	0.178399	0.17849	7.66603	0.000701272	7.66603	6786.06
159	0.179436	0.179528	0.17962	7.66603	0.000705663	7.66603	6786.06
160	0.180564	0.180657	0.18075	7.66602	0.000710053	7.66602	6786.06
161	0.181693	0.181786	0.181879	7.66602	0.000714441	7.66602	6786.06
162	0.182821	0.182915	0.183009	7.66602	0.000718829	7.66602	6786.06
163	0.18395	0.184044	0.184139	7.66602	0.000723217	7.66602	6786.06
164	0.185079	0.185173	0.185268	7.66602	0.000727603	7.66602	6786.06
165	0.186207	0.186303	0.186398	7.66602	0.000731988	7.66602	6786.06
166	0.187336	0.187432	0.187528	7.66602	0.000736372	7.66602	6786.06
167	0.188464	0.188561	0.188657	7.66602	0.000740755	7.66602	6786.06
168	0.189593	0.18969	0.189787	7.66602	0.000745138	7.66602	6786.06
169	0.190721	0.190819	0.190917	7.66602	0.000749519	7.66602	6786.06
170	0.19185	0.191948	0.192046	7.66602	0.0007539	7.66602	6786.06
171	0.192978	0.193077	0.193176	7.66602	0.000758279	7.66602	6786.07
172	0.194107	0.194206	0.194306	7.66601	0.000762658	7.66601	6786.07
173	0.195235	0.195335	0.195435	7.66601	0.000767035	7.66601	6786.07
174	0.196364	0.196464	0.196565	7.66601	0.000771412	7.66601	6786.07
175	0.197492	0.197594	0.197695	7.66601	0.000775788	7.66601	6786.07
176	0.198621	0.198723	0.198824	7.66601	0.000780162	7.66601	6786.07
177	0.199749	0.199852	0.199954	7.66601	0.000784536	7.66601	6786.07
178	0.200878	0.200981	0.201084	7.66601	0.000788908	7.66601	6786.07
179	0.202006	0.20211	0.202213	7.66601	0.00079328	7.66601	6786.07
180	0.203135	0.203239	0.203343	7.66601	0.000797651	7.66601	6786.07
181	0.204264	0.204368	0.204473	7.66601	0.00080202	7.66601	6786.07
182	0.205392	0.205497	0.205602	7.66601	0.000806389	7.66601	6786.07
183	0.206521	0.206626	0.206732	7.66601	0.000810756	7.66601	6786.07
184	0.207649	0.207755	0.207862	7.666	0.000815123	7.666	6786.08
185	0.208778	0.208885	0.208991	7.666	0.000819488	7.666	6786.08
186	0.209906	0.210014	0.210121	7.666	0.000823853	7.666	6786.08
187	0.211035	0.211143	0.211251	7.666	0.000828216	7.666	6786.08
188	0.212163	0.212272	0.21238	7.666	0.000832578	7.666	6786.08
189	0.213292	0.213401	0.21351	7.666	0.000836939	7.666	6786.08
190	0.21442	0.21453	0.21464	7.666	0.0008413	7.666	6786.08
191	0.215549	0.215659	0.215769	7.666	0.000845659	7.666	6786.08
192	0.216677	0.216788	0.216899	7.666	0.000850017	7.666	6786.08
193	0.217806	0.217917	0.218029	7.666	0.000854374	7.666	6786.08
194	0.218934	0.219046	0.219158	7.66599	0.000858729	7.66599	6786.08
195	0.220063	0.220175	0.220288	7.66599	0.000863084	7.66599	6786.08
196	0.221191	0.221305	0.221418	7.66599	0.000867438	7.66599	6786.09
197	0.22232	0.222434	0.222547	7.66599	0.00087179	7.66599	6786.09
198	0.223448	0.223563	0.223677	7.66599	0.000876142	7.66599	6786.09
199	0.224577	0.224692	0.224807	7.66599	0.000880492	7.66599	6786.09
200	0.225706	0.225821	0.225936	7.66599	0.000884841	7.66599	6786.09
201	0.226834	0.22695	0.227066	7.66599	0.000889189	7.66599	6786.09
202	0.227963	0.228079	0.228196	7.66599	0.000893536	7.66599	6786.09
203	0.229091	0.229208	0.229325	7.66599	0.000897882	7.66599	6786.09
204	0.23022	0.230337	0.230455	7.66598	0.000902226	7.66598	6786.09
205	0.231348	0.231466	0.231585	7.66598	0.00090657	7.66598	6786.09
206	0.232477	0.232596	0.232714	7.66598	0.000910912	7.66598	6786.09
207	0.233605	0.233725	0.233844	7.66598	0.000915253	7.66598	6786.1
208	0.234734	0.234854	0.234974	7.66598	0.000919593	7.66598	6786.1
209	0.235862	0.235983	0.236103	7.66598	0.000923932	7.66598	6786.1
210	0.236991	0.237112	0.237233	7.66598	0.00092827	7.66598	6786.1
211	0.238119	0.238241	0.238363	7.66598	0.000932606	7.66598	6786.1
212	0.239248	0.23937	0.239492	7.66598	0.000936941	7.66598	6786.1
213	0.240376	0.240499	0.240622	7.66598	0.000941275	7.66598	6786.1
214	0.241505	0.241628	0.241752	7.66597	0.000945608	7.66597	6786.1
215	0.242633	0.242757	0.242881	7.66597	0.00094994	7.66597	6786.1
216	0.243762	0.243886	0.244011	7.66597	0.00095427	7.66597	6786.1
217	0.24489	0.245016	0.245141	7.66597	0.000958599	7.66597	6786.1
218	0.246019	0.246145	0.24627	7.66597	0.000962927	7.66597	6786.11
219	0.247148	0.247274	0.2474	7.66597	0.000967254	7.66597	6786.11
220	0.248276	0.248403	0.24853	7.66597	0.000971579	7.66597	6786.11
221	0.249405	0.249532	0.249659	7.66597	0.000975904	7.66597	6786.11
222	0.250533	0.250661	0.250789	7.66597	0.000980227	7.66597	6786.11
223	0.251662	0.25179	0.251919	7.66596	0.000984548	7.66596	6786.11
224	0.25279	0.252919	0.253048	7.66596	0.000988869	7.66596	6786.11
225	0.253919	0.254048	0.254178	7.66596	0.000993188	7.66596	6786.11
226	0.255047	0.255177	0.255308	7.66596	0.000997506	7.66596	6786.11
227	0.256176	0.256306	0.256437	7.66596	0.00100182	7.66596	6786.11
228	0.257304	0.257436	0.257567	7.66596	0.00100614	7.66596	6786.12
229	0.258433	0.258565	0.258696	7.66596	0.00101045	7.66596	6786.12
230	0.259561	0.259694	0.259826	7.66596	0.00101477	7.66596	6786.12
231	0.26069	0.260823	0.260956	7.66596	0.00101908	7.66596	6786.12
232	0.261818	0.261952	0.262085	7.66595	0.00102339	7.66595	6786.12
233	0.262947	0.263081	0.263215	7.66595	0.0010277	7.66595	6786.12
234	0.264075	0.26421	0.264345	7.66595	0.001032	7.66595	6786.12
235	0.265204	0.265339	0.265474	7.66595	0.00103631	7.66595	6786.12
236	0.266333	0.266468	0.266604	7.66595	0.00104061	7.66595	6786.12
237	0.267461	0.267597	0.267734	7.66595	0.00104492	7.66595	6786.12
238	0.26859	0.268726	0.268863	7.66595	0.00104922	7.66595	6786.13
239	0.269718	0.269856	0.269993	7.66595	0.00105352	7.66595	6786.13
240	0.270847	0.270985	0.271123	7.66594	0.00105782	7.66595	6786.13
241	0.271975	0.272114	0.272252	7.66594	0.00106212	7.66594	6786.13
242	0.273104	0.273243	0.273382	7.66594	0.00106642	7.66594	6786.13
243	0.274232	0.274372	0.274512	7.66594	0.00107071	7.66594	6786.13
244	0.275361	0.275501	0.275641	7.66594	0.00107501	7.66594	6786.13
245	0.276489	0.27663	0.276771	7.66594	0.0010793	7.66594	6786.13
246	0.277618	0.277759	0.277901	7.66594	0.00108359	7.66594	6786.13
247	0.278746	0.278888	0.27903	7.66594	0.00108788	7.66594	6786.14
248	0.279875	0.280017	0.28016	7.66594	0.00109217	7.66594	6786.14
249	0.281003	0.281146	0.281289	7.66593	0.00109646	7.66593	6786.14
250	0.282132	0.282275	0.282419	7.66593	0.00110074	7.66593	6786.14
251	0.28326	0.283405	0.283549	7.66593	0.00110503	7.66593	6786.14
252	0.284389	0.284534	0.284678	7.66593	0.00110931	7.66593	6786.14
253	0.285517	0.285663	0.285808	7.66593	0.00111359	7.66593	6786.14
254	0.286646	0.286792	0.286938	7.66593	0.00111787	7.66593	6786.14
255	0.287775	0.287921	0.288067	7.66593	0.00112215	7.66593	6786.14
256	0.288903	0.28905	0.289197	7.66593	0.00112643	7.66593	6786.15
257	0.290032	0.290179	0.290327	7.66592	0.0011307	7.66592	6786.15
258	0.29116	0.291308	0.291456	7.66592	0.00113498	7.66592	6786.15
259	0.292289	0.292437	0.292586	7.66592	0.00113925	7.66592	6786.15
260	0.293417	0.293566	0.293716	7.66592	0.00114352	7.66592	6786.15
261	0.294546	0.294695	0.294845	7.66592	0.00114779	7.66592	6786.15
262	0.295674	0.295825	0.295975	7.66592	0.00115206	7.66592	6786.15
263	0.296803	0.296954	0.297104	7.66592	0.00115633	7.66592	6786.15
264	0.297931	0.298083	0.298234	7.66591	0.00116059	7.66591	6786.15
265	0.29906	0.299212	0.299364	7.66591	0.00116486	7.66591	6786.16
266	0.300188	0.300341	0.300493	7.66591	0.00116912	7.66591	6786.16
267	0.301317	0.30147	0.301623	7.66591	0.00117338	7.66591	6786.16
268	0.302445	0.302599	0.302753	7.66591	0.00117764	7.66591	6786.16
269	0.303574	0.303728	0.303882	7.66591	0.0011819	7.66591	6786.16
270	0.304702	0.304857	0.305012	7.66591	0.00118616	7.66591	6786.16
271	0.305831	0.305986	0.306142	7.66591	0.00119041	7.66591	6786.16
272	0.30696	0.307115	0.307271	7.6659	0.00119467	7.6659	6786.16
273	0.308088	0.308244	0.308401	7.6659	0.00119892	7.6659	6786.16
274	0.309217	0.309374	0.309531	7.6659	0.00120317	7.6659	6786.17
275	0.310345	0.310503	0.31066	7.6659	0.00120742	7.6659	6786.17
276	0.311474	0.311632	0.31179	7.6659	0.00121167	7.6659	6786.17
277	0.312602	0.312761	0.312919	7.6659	0.00121591	7.6659	6786.17
278	0.313731	0.31389	0.314049	7.6659	0.00122016	7.6659	6786.17
279	0.314859	0.315019	0.315179	7.66589	0.0012244	7.66589	6786.17
280	0.315988	0.316148	0.316308	7.66589	0.00122864	7.66589	6786.17
281	0.317116	0.317277	0.317438	7.66589	0.00123288	7.66589	6786.17
282	0.318245	0.318406	0.318568	7.66589	0.00123712	7.66589	6786.18
283	0.319373	0.319535	0.319697	7.66589	0.00124135	7.66589	6786.18
284	0.320502	0.320664	0.320827	7.66589	0.00124559	7.66589	6786.18
285	0.32163	0.321793	0.321956	7.66589	0.00124982	7.66589	6786.18
286	0.322759	0.322922	0.323086	7.66588	0.00125405	7.66588	6786.18
287	0.323887	0.324052	0.324216	7.66588	0.00125829	7.66588	6786.18
288	0.325016	0.325181	0.325345	7.66588	0.00126251	7.66588	6786.18
289	0.326144	0.32631	0.326475	7.66588	0.00126674	7.66588	6786.18
290	0.327273	0.327439	0.327605	7.66588	0.00127097	7.66588	6786.19
291	0.328402	0.328568	0.328734	7.66588	0.00127519	7.66588	6786.19
292	0.32953	0.329697	0.329864	7.66588	0.00127941	7.66588	6786.19
293	0.330659	0.330826	0.330994	7.66587	0.00128363	7.66587	6786.19
294	0.331787	0.331955	0.332123	7.66587	0.00128785	7.66587	6786.19
295	0.332916	0.333084	0.333253	7.66587	0.00129207	7.66587	6786.19
296	0.334044	0.334213	0.334382	7.66587	0.00129628	7.66587	6786.19
297	0.335173	0.335342	0.335512	7.66587	0.0013005	7.66587	6786.19
298	0.336301	0.336471	0.336642	7.66587	0.00130471	7.66587	6786.2
299	0.33743	0.337601	0.337771	7.66587	0.00130892	7.66587	6786.2
300	0.338558	0.33873	0.338901	7.66586	0.00131313	7.66586	6786.2
301	0.339687	0.339859	0.340031	7.66586	0.00131734	7.66586	6786.2
302	0.340815	0.340988	0.34116	7.66586	0.00132154	7.66586	6786.2
303	0.341944	0.342117	0.34229	7.66586	0.00132575	7.66586	6786.2
304	0.343072	0.343246	0.343419	7.66586	0.00132995	7.66586	6786.2
305	0.344201	0.344375	0.344549	7.66586	0.00133415	7.66586	6786.21
306	0.345329	0.345504	0.345679	7.66586	0.00133835	7.66586	6786.21
307	0.346458	0.346633	0.346808	7.66585	0.00134254	7.66585	6786.21
308	0.347587	0.347762	0.347938	7.66585	0.00134674	7.66585	6786.21
309	0.348715	0.348891	0.349068	7.66585	0.00135093	7.66585	6786.21
310	0.349844	0.35002	0.350197	7.66585	0.00135513	7.66585	6786.21
311	0.350972	0.351149	0.351327	7.66585	0.00135932	7.66585	6786.21
312	0.352101	0.352278	0.352456	7.66585	0.0013635	7.66585	6786.21
313	0.353229	0.353408	0.353586	7.66584	0.00136769	7.66585	6786.22
314	0.354358	0.354537	0.354716	7.66584	0.00137188	7.66584	6786.22
315	0.355486	0.355666	0.355845	7.66584	0.00137606	7.66584	6786.22
316	0.356615	0.356795	0.356975	7.66584	0.00138024	7.66584	6786.22
317	0.357743	0.357924	0.358104	7.66584	0.00138442	7.66584	6786.22
318	0.358872	0.359053	0.359234	7.66584	0.0013886	7.66584	6786.22
319	0.36	0.360182	0.360364	7.66584	0.00139277	7.66584	6786.22
320	0.361129	0.361311	0.361493	7.66583	0.00139695	7.66583	6786.23
321	0.362257	0.36244	0.362623	7.66583	0.00140112	7.66583	6786.23
322	0.363386	0.363569	0.363753	7.66583	0.00140529	7.66583	6786.23
323	0.364514	0.364698	0.364882	7.66583	0.00140946	7.66583	6786.23
324	0.365643	0.365827	0.366012	7.66583	0.00141363	7.66583	6786.23
325	0.366771	0.366956	0.367141	7.66583	0.00141779	7.66583	6786.23
326	0.3679	0.368086	0.368271	7.66582	0.00142196	7.66582	6786.23
327	0.369029	0.369215	0.369401	7.66582	0.00142612	7.66582	6786.24
328	0.370157	0.370344	0.37053	7.66582	0.00143028	7.66582	6786.24
329	0.371286	0.371473	0.37166	7.66582	0.00143444	7.66582	6786.24
330	0.372414	0.372602	0.372789	7.66582	0.00143859	7.66582	6786.24
331	0.373543	0.373731	0.373919	7.66582	0.00144275	7.66582	6786.24
332	0.374671	0.37486	0.375049	7.66581	0.0014469	7.66581	6786.24
333	0.3758	0.375989	0.376178	7.66581	0.00145105	7.66581	6786.24
334	0.376928	0.377118	0.377308	7.66581	0.0014552	7.66581	6786.25
335	0.378057	0.378247	0.378438	7.66581	0.00145935	7.66581	6786.25
336	0.379185	0.379376	0.379567	7.66581	0.00146349	7.66581	6786.25
337	0.380314	0.380505	0.380697	7.66581	0.00146763	7.66581	6786.25
338	0.381442	0.381634	0.381826	7.6658	0.00147178	7.6658	6786.25
339	0.382571	0.382763	0.382956	7.6658	0.00147592	7.6658	6786.25
340	0.383699	0.383892	0.384086	7.6658	0.00148005	7.6658	6786.25
341	0.384828	0.385022	0.385215	7.6658	0.00148419	7.6658	6786.26
342	0.385956	0.386151	0.386345	7.6658	0.00148832	7.6658	6786.26
343	0.387085	0.38728	0.387474	7.6658	0.00149245	7.6658	6786.26
344	0.388214	0.388409	0.388604	7.66579	0.00149658	7.66579	6786.26
345	0.389342	0.389538	0.389734	7.66579	0.00150071	7.66579	6786.26
346	0.390471	0.390667	0.390863	7.66579	0.00150484	7.66579	6786.26
347	0.391599	0.391796	0.391993	7.66579	0.00150896	7.66579	6786.27
348	0.392728	0.392925	0.393122	7.66579	0.00151309	7.66579	6786.27
349	0.393856	0.394054	0.394252	7.66579	0.00151721	7.66579	6786.27
350	0.394985	0.395183	0.395382	7.66578	0.00152132	7.66578	6786.27
351	0.396113	0.396312	0.396511	7.66578	0.00152544	7.66578	6786.27
352	0.397242	0.397441	0.397641	7.66578	0.00152956	7.66578	6786.27
353	0.39837	0.39857	0.39877	7.66578	0.00153367	7.66578	6786.27
354	0.399499	0.399699	0.3999	7.66578	0.00153778	7.66578	6786.28
355	0.400627	0.400828	0.40103	7.66578	0.00154189	7.66578	6786.28
356	0.401756	0.401958	0.402159	7.66577	0.00154599	7.66577	6786.28
357	0.402884	0.403087	0.403289	7.66577	0.0015501	7.66577	6786.28
358	0.404013	0.404216	0.404418	7.66577	0.0015542	7.66577	6786.28
359	0.405141	0.405345	0.405548	7.66577	0.0015583	7.66577	6786.28
360	0.40627	0.406474	0.406678	7.66577	0.0015624	7.66577	6786.29
361	0.407398	0.407603	0.407807	7.66577	0.0015665	7.66577	6786.29
